"","Variables","Site","Season","Tide","Param_mean","Param_vars","Params_sd"
"1","Phosphate","BP","FALL","High",0.127,0.000713846153846154,0.026717899502883
"2","Phosphate","BP","FALL","Low",0.22875,0.0144625,0.120260134708057
"3","Phosphate","BP","SPRING","High",0.184210526315789,0.00184665718349929,0.042972749312783
"4","Phosphate","BP","SPRING","Low",0.266,0.0426305882352941,0.206471761350782
"5","Phosphate","W","FALL","High",0.10325,0.000684038461538461,0.026154128957747
"6","Phosphate","W","FALL","Low",0.14975,0.0182794230769231,0.135201416697175
"7","Phosphate","W","SPRING","High",0.114418604651163,0.000377630121816168,0.0194327075266461
"8","Phosphate","W","SPRING","Low",0.171666666666667,0.0139264227642276,0.118010265503589
"9","Silicate","BP","FALL","High",3.956,28.6833323076923,5.3556822448398
"10","Silicate","BP","FALL","Low",21.13075,364.364858397436,19.0883435215693
"11","Silicate","BP","SPRING","High",10.6715789473684,59.4842028449502,7.71260026482316
"12","Silicate","BP","SPRING","Low",30.0511428571429,1405.36560453782,37.4882062059232
"13","Silicate","W","FALL","High",4.54875,20.3076368589744,4.5063995449776
"14","Silicate","W","FALL","Low",28.80875,2375.74822660256,48.7416477624891
"15","Silicate","W","SPRING","High",3.10627906976744,2.82004772978959,1.67929977365257
"16","Silicate","W","SPRING","Low",24.3542857142857,1600.74239581882,40.009278871517
